class index,filepaths,labels,data set
0,train/ARCIGERA FLOWER MOTH/001.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/002.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/003.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/004.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/005.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/006.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/007.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/008.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/009.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/010.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/011.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/012.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/013.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/014.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/015.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/016.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/017.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/018.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/019.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/020.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/021.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/022.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/023.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/024.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/025.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/026.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/027.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/028.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/029.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/030.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/031.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/032.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/033.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/034.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/035.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/036.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/037.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/038.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/039.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/040.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/041.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/042.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/043.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/044.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/045.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/046.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/047.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/048.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/049.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/050.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/051.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/052.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/053.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/054.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/055.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/056.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/057.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/058.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/059.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/060.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/061.jpg,ARCIGERA FLOWER MOTH,train
